Folder Name,H2S_uptake capacity  [mol/kg]
DB0-m2_o3_o23_f0_nbo.sym.26_repeat,36.2585
DB0-m2_o15_o17_f0_nbo.sym.41_repeat,26.14434
DB5-hypotheticalMOF_5077504_2_1_2_27_12_11_repeat,15.35578
DB0-m3_o520_o13_f0_fsc.sym.39_repeat,18.79162
DB0-m3_o160_o150_f0_fsc.sym.82_repeat,14.72017
DB1-Cu2N8-irmof20_B-irmof7_B_No487_repeat,13.50373
DB0-m3_o2_o14_f0_nbo.sym.106_repeat,70.18537
DB0-m29_o91_o93_f0_pts.sym.38_repeat,29.64461
DB1-Cu2O8N2-AZO_A-BDC_A_No461_repeat,38.72899
DB0-m2_o9_o16_f0_pcu.sym.49_repeat,9.862287
DB0-m2_o9_o20_f0_nbo.sym.46_repeat,34.22844
DB0-m3_o1480_o23_f0_fsc.sym.102_repeat,10.31917
DB0-m3_o1490_o158_f0_fsc.sym.7_repeat,13.78863
DB0-m3_o24_o1520_f0_fsc.sym.39_repeat,10.34823
DB0-m2_o13_o22_f0_pcu.sym.73_repeat,17.69893
DB0-m2_o40_o41_f0_fof.sym.51_repeat,16.51206
DB0-m3_o6_o151_f0_fsc.sym.32_repeat,23.13922
DB0-m3_o96_o159_f0_fsc.sym.33_repeat,29.61518
DB0-m3_o2_o5_f0_nbo.sym.15_repeat,58.64978
DB7-ddmof_3895_repeat,12.18912
DB0-m2_o40_o40_f0_fof.sym.2_repeat,21.41265
DB0-m29_o90_o95_f0_pts.sym.16_repeat,29.83895
DB5-hypotheticalMOF_25449_0_0_1_14_11_5_repeat,23.49306
DB0-m29_o92_o172_f0_pts.sym.16_repeat,32.87439
DB0-m3_o3_o12_f0_pcu.sym.61_repeat,33.033
DB0-m2_o11_o25_f0_nbo.sym.85_repeat,53.30223
DB0-m3_o4_o27_f0_nbo.sym.61_repeat,68.37
DB0-m9_o11_o22_f0_sra.sym.17_repeat,14.6393
DB5-hypotheticalMOF_5076386_2_1_2_27_25_3_repeat,15.31749
DB0-m2_o18_o22_f0_pcu.sym.29_repeat,23.12892
DB6-cuf_6821_repeat,29.54089
DB0-m29_o90_o43_f0_pts.sym.80_repeat,30.49091
DB0-m29_o82_o52_f0_pts.sym.111_repeat,24.74748
DB0-m2_o10_o23_f0_pcu.sym.28_repeat,13.88191
DB0-m29_o84_o100_f0_pts.sym.20_repeat,13.40958
DB0-m3_o160_o90_f0_fsc.sym.11_repeat,21.27802
DB0-m3_o7_o23_f0_pcu.sym.55_repeat,35.74775
DB0-m29_o80_o45_f0_pts.sym.104_repeat,27.75078
DB0-m3_o150_o23_f0_fsc.sym.18_repeat,27.14593
DB0-m29_o90_o52_f0_pts.sym.69_repeat,25.47383
DB1-Zn2O8-irmof10_A-irmof7_A_No259_repeat,35.07097
DB6-pMOF_100_repeat,31.15035
DB0-m2_o24_o29_f0_nbo.sym.130_repeat,65.01144
DB0-m2_o24_o24_f0_nbo.sym.117_repeat,37.20375
DB0-m3_o18_o115_f0_fsc.sym.42_repeat,28.88624
DB0-m3_o7_o21_f0_pcu.sym.35_repeat,70.16989
DB5-hypotheticalMOF_6003762_0_0_3_23_9_0_repeat,23.24249
DB0-m9_o1_o1_f0_sra.sym.28_repeat,9.987316
DB0-m29_o88_o500_f0_pts.sym.11_repeat,29.72738
DB7-ddmof_7236_repeat,75.06667
DB0-m9_o18_o27_f0_sra.sym.60_repeat,20.7841
DB0-m3_o156_o510_f0_fsc.sym.2_repeat,23.1672
DB0-m3_o11_o23_f0_nbo.sym.62_repeat,53.89444
DB0-m3_o9_o28_f0_nbo.sym.20_repeat,48.55602
DB0-m3_o520_o156_f0_fsc.sym.1_repeat,27.75624
DB0-m29_o88_o52_f0_pts.sym.87_repeat,28.87209
DB0-m3_o540_o156_f0_fsc.sym.15_repeat,37.42554
DB0-m3_o16_o20_f0_pcu.sym.28_repeat,37.21087
DB0-m3_o109_o159_f0_fsc.sym.19_repeat,18.17517
DB0-m3_o25_o99_f0_fsc.sym.3_repeat,22.09258
DB0-m2_o8_o18_f0_pcu.sym.41_repeat,29.02193
DB15-pcu_N47_E31_unopt_repeat,39.45744
DB0-m9_o2_o20_f0_sra.sym.18_repeat,14.1482
DB1-MIL47V-ADC_B-BDC_B_No415_repeat,10.12106
DB0-m3_o153_o23_f0_fsc.sym.4_repeat,11.97138
DB0-m2_o8_o17_f0_pcu.sym.80_repeat,44.07877
DB0-m3_o420_o159_f0_fsc.sym.15_repeat,15.52951
DB0-m29_o96_o1510_f0_pts.sym.24_repeat,44.65527
DB0-m2_o1_o6_f0_nbo.sym.61_repeat,28.47121
DB0-m29_o80_o109_f0_pts.sym.75_repeat,29.046
DB0-m29_o84_o100_f0_pts.sym.8_repeat,17.304
DB0-m3_o5_o27_f0_nbo.sym.40_repeat,58.47193
DB1-Zn2O8-ADC_A-BDC_A_No819_repeat,19.60553
DB6-pMOF_377_repeat,48.33952
DB0-m29_o83_o109_f0_pts.sym.63_repeat,32.69185
DB5-hypotheticalMOF_5051192_1_0_1_27_26_4_repeat,50.7062
DB7-ddmof_19283_repeat,64.58437
DB0-m3_o3_o19_f0_pcu.sym.63_repeat,46.68039
DB0-m29_o88_o105_f0_pts.sym.74_repeat,38.35907
DB7-ddmof_20298_repeat,30.37819
DB0-m3_o9_o15_f0_nbo.sym.68_repeat,22.78157
DB0-m29_o89_o151_f0_pts.sym.49_repeat,22.55519
DB0-m29_o99_o51_f0_pts.sym.64_repeat,29.6006
DB0-m3_o8_o28_f0_pcu.sym.3_repeat,55.99867
DB0-m3_o160_o45_f0_fsc.sym.6_repeat,18.92184
DB0-m2_o28_o28_f0_pcu.sym.47_repeat,80.34222
DB0-m29_o97_o170_f0_pts.sym.97_repeat,46.18653
DB0-m29_o99_o1500_f0_pts.sym.3_repeat,37.11914
DB1-Zn2O8N2-AZO_A-BDC_A_No36_repeat,50.52385
DB0-m3_o16_o47_f0_fsc.sym.66_repeat,7.818293
DB0-m29_o81_o1490_f0_pts.sym.21_repeat,29.86927
DB0-m3_o8_o23_f0_pcu.sym.125_repeat,51.10536
DB0-m3_o11_o20_f0_nbo.sym.52_repeat,65.48688
DB0-m3_o18_o52_f0_fsc.sym.14_repeat,13.02747
DB0-m2_o2_o9_f0_pcu.sym.73_repeat,20.35623
DB0-m3_o1_o12_f0_pcu.sym.52_repeat,21.76818
DB0-m29_o80_o1500_f0_pts.sym.51_repeat,34.83599
DB0-m3_o155_o47_f0_fsc.sym.9_repeat,16.28887
DB0-m29_o97_o147_f0_pts.sym.57_repeat,22.29592
DB0-m3_o10_o23_f0_pcu_repeat,27.05009
DB0-m29_o81_o45_f0_pts.sym.58_repeat,22.96324
DB0-m3_o146_o21_f0_fsc.sym.72_repeat,20.92689
DB0-m29_o83_o86_f0_pts.sym.76_repeat,24.84749
DB13-hxg-Syn038371_repeat,34.29856
DB0-m3_o5_o22_f0_nbo.sym.92_repeat,23.83872
DB0-m2_o31_o6_tfc_repeat,104.3458
DB0-m3_o47_o23_f0_fsc.sym.86_repeat,10.49329
DB1-Zn2O8N2-ADC_A-irmof7_A_No346_repeat,39.85454
DB0-m3_o17_o146_f0_fsc.sym.84_repeat,18.22163
DB0-m29_o85_o86_f0_pts.sym.8_repeat,21.26143
DB0-m29_o96_o430_f0_pts.sym.110_repeat,44.81161
DB0-m3_o2_o26_f0_pcu.sym.29_repeat,38.27258
DB0-m3_o16_o96_f0_fsc.sym.48_repeat,25.08485
DB0-m3_o14_o28_f0_nbo.sym.5_repeat,61.82448
DB0-m9_o23_o25_f0_sra.sym.43_repeat,21.67061
DB5-hypotheticalMOF_5072345_1_0_2_19_19_9_repeat,43.52313
DB1-Al2O6-BTC_A-irmof6_B_No1_repeat,16.5165
DB0-m3_o450_o23_f0_fsc.sym.52_repeat,18.04543
DB0-m3_o40_o41_f0_fof.sym.27_repeat,21.65132
DB1-Zn2O8-fum_A-irmof7_A_No86_repeat,13.3663
DB1-Cu2O8N2-AZO_A-imdb_No7_repeat,11.54391
DB5-hypotheticalMOF_25962_1_0_1_16_21_5_repeat,52.43192
DB0-m29_o99_o109_f0_pts.sym.63_repeat,32.4703
DB0-m2_o8_o12_f0_pcu.sym.82_repeat,25.6166
DB0-m29_o85_o102_f0_pts.sym.47_repeat,21.77854
DB0-m3_o146_o15_f0_fsc.sym.31_repeat,12.85715
DB1-Zn2O8N2-DPAC_A-irmof8_A_No392_repeat,39.3503
DB0-m3_o7_o24_f0_pcu.sym.1_repeat,42.96029
DB0-m29_o81_o1470_f0_pts.sym.24_repeat,25.39249
DB0-m3_o6_o23_f0_pcu.sym.7_repeat,44.48046
DB0-m29_o84_o1510_f0_pts.sym.15_repeat,33.49715
DB0-m2_o40_o41_f0_fof.sym.41_repeat,19.17636
DB0-m9_o12_o18_f0_sra.sym.29_repeat,5.114723
DB0-m3_o13_o150_f0_fsc.sym.109_repeat,17.37644
DB0-m2_o6_o20_f0_nbo.sym.108_repeat,53.78783
DB0-m3_o7_o14_f0_pcu.sym.37_repeat,41.42025
DB0-m3_o17_o146_f0_fsc.sym.113_repeat,11.47216
DB0-m2_o4_o27_f0_nbo.sym.23_repeat,51.04696
DB0-m3_o11_o14_f0_nbo.sym.39_repeat,43.34286
DB0-m3_o51_o159_f0_fsc.sym.56_repeat,19.75791
DB1-Al2O6-ADC_B-DPAC_B_No146_repeat,40.92645
DB0-m29_o90_o45_f0_pts.sym.124_repeat,21.86076
DB0-m3_o44_o13_f0_fsc.sym.35_repeat,15.6934
DB0-m2_o7_o32_tfo_repeat,33.63314
DB5-hypotheticalMOF_3169_1_0_0_24_9_7_repeat,45.96659
DB0-m2_o11_o23_f0_pcu.sym.69_repeat,28.09467
DB5-hypotheticalMOF_1002344_0_0_3_13_21_0_repeat,31.19827
DB0-m2_o13_o29_f0_pcu.sym.16_repeat,26.82361
DB0-m3_o17_o24_f0_nbo.sym.103_repeat,46.8106
DB0-m29_o89_o44_f0_pts.sym.31_repeat,22.34304
DB0-m3_o17_o24_f0_nbo.sym.29_repeat,57.65023
DB7-ddmof_22409_repeat,59.54117
DB0-m3_o6_o25_f0_pcu.sym.101_repeat,16.74142
DB0-m2_o25_o144_f0_fsc_repeat,40.75756
DB0-m2_o7_o23_f0_pcu.sym.132_repeat,49.32055
DB0-m3_o153_o156_f0_fsc.sym.28_repeat,19.85527
DB0-m3_o1_o21_f0_pcu.sym.15_repeat,33.19479
DB1-Zn2O8N2-BDC_A-DPAC_A_No393_repeat,24.99027
DB5-hypotheticalMOF_5018699_3_0_0_19_12_8_repeat,56.7491
DB0-m2_o14_o23_f0_pcu.sym.25_repeat,21.37083
DB0-m3_o24_o112_f0_fsc.sym.14_repeat,7.58995
DB0-m3_o14_o29_f0_pcu.sym.75_repeat,31.13585
DB0-m3_o490_o21_f0_fsc.sym.7_repeat,13.92045
DB0-m2_o1_o3_f0_pcu.sym.13_repeat,10.25904
DB0-m3_o7_o11_f0_pcu.sym.11_repeat,53.42432
DB0-m2_o20_o25_f0_nbo.sym.122_repeat,59.23329
DB0-m3_o2_o19_f0_nbo.sym.74_repeat,70.88598
DB0-m2_o7_o9_f0_pcu.sym.109_repeat,19.78091
DB5-hypotheticalMOF_8837_1_0_0_13_9_6_repeat,39.27442
DB4-NU-TPE-4TPT-ftw_repeat,89.87092
DB0-m2_o7_o26_f0_pcu.sym.43_repeat,57.7828
DB0-m15_o21_o140_f0_fsc_repeat,34.38462
DB0-m29_o90_o1530_f0_pts.sym.66_repeat,26.79469
DB5-hypotheticalMOF_5020791_0_0_0_23_1_8_repeat,34.22529
DB5-hypotheticalMOF_5067244_1_0_2_8_12_8_repeat,20.45805
DB0-m2_o4_o17_f0_nbo.sym.123_repeat,41.26163
DB0-m3_o1490_o23_f0_fsc.sym.27_repeat,17.63311
DB0-m2_o25_o27_f0_pcu.sym.8_repeat,29.03824
DB0-m3_o8_o26_f0_pcu.sym.135_repeat,54.3991
DB6-cuf_4442_repeat,30.79387
DB0-m3_o1500_o14_f0_fsc.sym.6_repeat,13.71081
DB0-m2_o14_o25_f0_nbo.sym.15_repeat,47.19202
DB13-lvt-Syn034640_repeat,32.80271
DB0-m2_o17_o23_f0_pcu.sym.107_repeat,22.3615
DB0-m9_o2_o23_f0_sra.sym.90_repeat,9.299952
DB1-Zn2O8-ADC_A-irmof7_A_No1073_repeat,17.79715
DB0-m3_o153_o23_f0_fsc.sym.105_repeat,17.73035
DB0-m3_o2_o27_f0_nbo.sym.89_repeat,66.41091
DB0-m3_o14_o17_f0_pcu.sym.99_repeat,18.47421
DB0-m2_o6_o11_f0_pcu.sym.73_repeat,21.31017
DB0-m2_o19_o23_f0_nbo.sym.27_repeat,78.98775
DB0-m2_o6_o23_f0_pcu.sym.99_repeat,45.14079
DB0-m3_o25_o150_f0_fsc.sym.80_repeat,20.09559
DB0-m29_o83_o500_f0_pts.sym.18_repeat,25.65687
DB0-m9_o2_o6_f0_sra.sym.28_repeat,27.66767
DB5-hypotheticalMOF_5070099_0_0_2_3_10_8_repeat,15.75865
DB0-m9_o18_o25_f0_sra.sym.2_repeat,25.03119
DB0-m9_o6_o13_f0_sra.sym.95_repeat,14.03421
DB0-m3_o1_o11_f0_nbo.sym.49_repeat,30.0006
DB0-m3_o9_o14_f0_nbo.sym.25_repeat,28.53691
DB0-m3_o4_o20_f0_nbo.sym.37_repeat,58.79045
DB0-m3_o17_o21_f0_pcu.sym.90_repeat,15.6639
DB0-m29_o85_o150_f0_pts.sym.133_repeat,11.42268
DB0-m29_o90_o1470_f0_pts.sym.124_repeat,28.16224
DB0-m3_o9_o9_f0_nbo.sym.74_repeat,22.11353
DB0-m23_o3_o152_f0_pcu_repeat,37.91121
DB0-m2_o13_o24_f0_pcu.sym.100_repeat,17.07024
DB0-m3_o156_o1510_f0_fsc.sym.29_repeat,26.4477
DB0-m2_o25_o28_f0_pcu.sym.39_repeat,48.81999
DB0-m9_o7_o17_f0_sra.sym.16_repeat,26.30833
DB6-cuf_8729_repeat,35.27535
DB0-m2_o21_o25_f0_pcu.sym.57_repeat,32.91368
DB7-ddmof_1935_repeat,68.95018
DB0-m3_o1480_o6_f0_fsc.sym.13_repeat,25.4616
DB0-m2_o16_o16_f0_pcu.sym.73_repeat,15.35736
DB0-m2_o21_o27_f0_pcu.sym.103_repeat,39.78426
DB0-m3_o2_o27_f0_pcu.sym.45_repeat,26.04501
DB0-m2_o2_o11_f0_nbo.sym.30_repeat,59.72964
DB0-m2_o14_o26_f0_pcu.sym.18_repeat,22.31899
DB0-m3_o25_o51_f0_fsc.sym.23_repeat,21.00978
DB0-m2_o8_o16_f0_pcu.sym.73_repeat,40.76949
DB0-m3_o1530_o21_f0_fsc.sym.24_repeat,22.7346
DB13-nbo-Syn028446_repeat,25.67362
DB0-m3_o51_o22_f0_fsc.sym.4_repeat,7.552517
DB0-m3_o11_o13_f0_pcu.sym.79_repeat,31.19462
DB5-hypotheticalMOF_5083306_3_0_2_29_29_0_repeat,49.32726
DB0-m3_o14_o151_f0_fsc.sym.36_repeat,18.44387
DB0-m3_o17_o22_f0_nbo.sym.132_repeat,52.25243
DB0-m3_o82_o23_f0_fsc.sym.33_repeat,16.46794
DB5-hypotheticalMOF_5019172_0_0_0_19_8_2_repeat,22.01879
DB0-m2_o15_o24_f0_nbo.sym.75_repeat,27.43098
DB0-m15_o28_o89_f0_fsc_repeat,28.13224
DB0-m3_o44_o156_f0_fsc.sym.46_repeat,20.7129
DB0-m3_o18_o27_f0_pcu.sym.15_repeat,45.90865
DB7-ddmof_17405_repeat,32.81474
DB0-m3_o11_o23_f0_nbo.sym.61_repeat,58.59775
DB0-m29_o91_o45_f0_pts.sym.47_repeat,25.16861
DB0-m3_o96_o159_f0_fsc.sym.5_repeat,31.25641
DB0-m3_o12_o23_f0_pcu.sym.143_repeat,31.00362
DB0-m3_o11_o19_f0_pcu.sym.124_repeat,25.24458
DB0-m2_o2_o29_f0_pcu.sym.28_repeat,40.76322
DB0-m15_o45_o149_f0_fsc_repeat,12.82384
DB12-IJUTEM_freeONLY_repeat,11.46957
DB0-m3_o1520_o158_f0_fsc.sym.12_repeat,14.89741
DB1-Cu2N8-BDC_B-DPAC_B_No290_repeat,18.58289
DB6-pMOF_373_repeat,35.39998
DB0-m3_o42_o13_f0_fsc.sym.41_repeat,6.354812
DB0-m3_o82_o23_f0_fsc.sym.13_repeat,14.90971
DB0-m2_o1_o3_f0_nbo.sym.4_repeat,47.81099
DB7-ddmof_7147_repeat,1.690048
DB0-m3_o104_o17_f0_fsc.sym.17_repeat,8.92902
DB0-m2_o4_o23_f0_nbo.sym.67_repeat,46.34105
DB1-Cu2N8-ADC_B-DPAC_B_No1141_repeat,36.57521
DB1-Cu2O8-irmof10_A-irmof16_A_No8_repeat,91.96088
DB0-m2_o8_o16_f0_pcu.sym.113_repeat,45.05412
DB0-m3_o20_o22_f0_nbo.sym.84_repeat,71.31689
DB0-m2_o17_o22_f0_pcu.sym.50_repeat,20.38767
DB0-m3_o16_o44_f0_fsc.sym.65_repeat,13.87268
DB0-m3_o9_o23_f0_nbo.sym.108_repeat,40.6882
DB0-m3_o4_o27_f0_nbo.sym.99_repeat,62.13779
DB5-hypotheticalMOF_6003052_0_0_3_3_16_7_repeat,8.281167
DB0-m9_o13_o24_f0_sra.sym.107_repeat,6.953855
DB0-m3_o152_o14_f0_fsc.sym.25_repeat,9.291682
DB0-m3_o24_o28_f0_nbo.sym.108_repeat,46.39695
DB0-m2_o7_o9_f0_nbo.sym.60_repeat,38.69611
DB0-m29_o96_o470_f0_pts.sym.25_repeat,37.73566
DB0-m2_o1_o7_f0_pcu.sym.18_repeat,14.12673
DB0-m2_o141_o148_f0_fsc_repeat,19.06663
DB7-ddmof_3093_repeat,20.2136
DB1-MIL47V-irmof16_B-irmof20_B_No284_repeat,18.07615
DB0-m3_o2_o17_f0_pcu.sym.100_repeat,30.12139
DB0-m2_o18_o18_f0_pcu.sym.60_repeat,10.81908
DB0-m2_o8_o28_f0_pcu.sym.18_repeat,49.43701
DB0-m9_o20_o24_f0_sra.sym.35_repeat,17.86405
DB0-m2_o36_pts_repeat,26.79252
DB0-m29_o89_o500_f0_pts.sym.50_repeat,16.75854
DB0-m29_o84_o420_f0_pts.sym.67_repeat,20.58777
DB0-m2_o3_o11_f0_pcu.sym.15_repeat,38.14261
DB0-m2_o1_o12_f0_pcu.sym.14_repeat,24.22225
DB0-m29_o99_o110_f0_pts.sym.48_repeat,24.06836
DB0-m3_o1490_o156_f0_fsc.sym.22_repeat,12.48236
DB0-m3_o1_o24_f0_nbo.sym.107_repeat,34.8873
DB0-m29_o81_o52_f0_pts.sym.88_repeat,23.49395
DB0-m1_o9_lcy_repeat,18.52688
DB0-m3_o47_o23_f0_fsc.sym.17_repeat,17.68052
DB0-m29_o84_o52_f0_pts.sym.12_repeat,24.30063
DB0-m3_o11_o25_f0_nbo.sym.139_repeat,63.75197
